course_code,status,canonical_title,canonical_cus,first_seen,last_seen,edition_count,span_months,college_count,colleges,title_variant_count,title_variants,first_programs,latest_programs
D404,RETIRED,Healthcare Values and Ethics,3,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,0,,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D405,RETIRED,Financial Resource Management and Healthcare,4,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,1,Financial Resource Management and,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D406,RETIRED,Health Literacy for the Client and Family,3,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,0,,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D407,RETIRED,Models of Care and Healthcare Trends,3,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,0,,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D408,RETIRED,Community Relations and Leadership,3,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,0,,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D409,RETIRED,Health and Human Services Professional Field Experience,3,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,1,Health and Human Services Professional Field,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D410,RETIRED,Health & Human Services Professional Capstone,3,2022-12,2026-06,43,42,2,College of Health Professions | Leavitt School of Health,1,Health & Human Services Professional,"Bachelor of Science, Health and Human Services","Bachelor of Science, Health and Human Services"
D411,RETIRED,Scripting and Automation,2,2022-05,2025-07,39,38,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud Computing | Bachelor of Science, Cloud Computing - Amazon Web Services track | Bachelor of Science, Cloud Computing - Microsoft Azure track"
D411A,RETIRED,Scripting and Automation,2,2024-01,2024-08,8,7,2,College of Information Technology | School of Technology,0,,Certificate: Web Application Deployment and Support,Certificate: Web Application Deployment and Support
D412,RETIRED,Network Analytics and Troubleshooting,3,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
D413,RETIRED,Telecomm and Wireless Communications,3,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
D414,RETIRED,Cyber Operations Fundamentals,6,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cloud and Network Engineering - Cisco"
D415,RETIRED,Software Defined Networking,3,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
D416,RETIRED,DevNet Fundamentals,6,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cloud and Network Engineering - Cisco"
D417,RETIRED,Network Automation and Deployment,3,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security","Bachelor of Science, Cloud and Network Engineering"
D418,RETIRED,BSNES Capstone Project,4,2022-08,2025-07,36,35,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Network Engineering and Security Cisco Track | Master of Science, Information Technology Management portion"
D419,RETIRED,Implementing and Administering Networking Solutions,6,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,1,Implementing and Administering Networking,"Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cloud and Network Engineering - Cisco"
D420,RETIRED,Discrete Math: Logic,1,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cybersecurity and Information Assurance | Bachelor of Science, Data Analytics"
D421,RETIRED,Discrete Math: Functions and Relations,1,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cybersecurity and Information Assurance | Bachelor of Science, Data Analytics"
D422,RETIRED,Discrete Math: Algorithms and Cryptography,1,2022-08,2026-06,47,46,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Cybersecurity and Information Assurance"
D423,RETIRED,Spreadsheets,1,2022-08,2024-03,20,19,1,College of Information Technology,0,,"Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track","Bachelor of Science, Network Engineering and Security | Bachelor of Science, Network Engineering and Security Cisco Track"
D424,RETIRED,Software Engineering Capstone,4,2023-01,2026-06,42,41,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Software Engineering [BSSWE] | Bachelor of Science, Software Engineering [BSSWE_C]","Bachelor of Science, Software Engineering (BSSWE to MSSWE) | Bachelor of Science, Software Engineering [BSSWE] | Bachelor of Science, Software Engineering [BSSWE_C]"
D425,RETIRED,Introduction to Chemistry,3,2023-01,2026-06,42,41,1,Leavitt School of Health,0,,"Bachelor of Science, Nursing - Prelicensure (Pre-Nursing)","Bachelor of Science, Health Science | Bachelor of Science, Nursing - Prelicensure (Pre-Nursing)"
D426,RETIRED,Data Management - Foundations,3,2022-06,2026-06,49,48,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing | Bachelor of Science, Cloud Computing – Amazon Web Services track | Bachelor of Science, Cloud Computing – Microsoft Azure track | Bachelor of Science, Information Technology","Bachelor of Science, AI Engineering | Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco"
D427,RETIRED,Data Management - Applications,4,2022-06,2026-06,49,48,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing | Bachelor of Science, Cloud Computing – Amazon Web Services track | Bachelor of Science, Cloud Computing – Microsoft Azure track | Bachelor of Science, Information Technology","Bachelor of Science, Computer Science | Bachelor of Science, Computer Science (BSCS to MSCS) | Bachelor of Science, Data Analytics | Bachelor of Science, Information Technology"
D427A,RETIRED,Data Management - Applications,4,2024-02,2024-08,7,6,2,College of Information Technology | School of Technology,0,,Certificate: Back End Web Development,Certificate: Back End Web Development
D428,RETIRED,Design Thinking for Business,3,2023-04,2026-06,39,38,4,College of Business | College of Information Technology | School of Business | School of Technology,0,,Bachelor of Science Supply Chain and Operations Management,"Bachelor of Science, Business Management | Bachelor of Science, Data Analytics | Bachelor of Science, Marketing | Bachelor of Science, Project Management"
D429,RETIRED,Introduction to AI for Computer Scientists,2,2024-10,2026-06,21,20,1,School of Technology,0,,"Bachelor of Science, Computer Science","Bachelor of Science, Computer Science | Bachelor of Science, Computer Science (BSCS to MSCS)"
D430,RETIRED,Fundamentals of Information Security,3,2023-02,2026-06,41,40,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cybersecurity and Information Assurance","Bachelor of Science, AI Engineering | Bachelor of Science, Computer Science | Bachelor of Science, Computer Science (BSCS to MSCS)"
D431,RETIRED,Digital Forensics in Cybersecurity,4,2023-02,2025-06,29,28,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cybersecurity and Information Assurance","Bachelor of Science, Cybersecurity and Information Assurance"
D432,RETIRED,HR Compliance and Employee Relations,3,2023-08,2026-06,35,34,2,College of Business | School of Business,0,,"Master of Science, Human Resource Management","Master of Science, Human Resource Management"
D433,RETIRED,Talent Acquisition and Development,3,2023-08,2026-06,35,34,2,College of Business | School of Business,0,,"Master of Science, Human Resource Management","Master of Science, Human Resource Management"
D434,RETIRED,Future Focused Total Rewards,3,2023-08,2026-06,35,34,2,College of Business | School of Business,0,,"Master of Science, Human Resource Management","Master of Science, Human Resource Management"
D435,RETIRED,HR Technology and People Analytics,3,2023-08,2026-06,35,34,2,College of Business | School of Business,0,,"Master of Science, Human Resource Management","Master of Science, Human Resource Management"
D436,RETIRED,Inclusive Workplace Culture Capstone,3,2023-08,2026-05,34,33,2,College of Business | School of Business,0,,"Master of Science, Human Resource Management","Master of Science, Human Resource Management"
D439,RETIRED,Foundations of Nursing,3,2023-01,2026-06,42,41,1,Leavitt School of Health,0,,"Bachelor of Science, Nursing - Prelicensure (Pre-Nursing)","Bachelor of Science, Nursing - Prelicensure (Pre-Nursing)"
