scope,course_code,title,cus,program_count,colleges,programs
AP,C737,Evolution,3,1,School of Education,Master of Arts Science Education (Secondary Biological Science)
AP,C739,"Space, Time and Motion",3,1,School of Education,Master of Arts Science Education (Secondary Physics)
AP,C783,Project Management,4,1,School of Technology,"Master of Science, Data Analytics - Decision Process Engineering"
AP,C784,Applied Healthcare Statistics,4,10,Leavitt School of Health; School of Business,"Bachelor of Science, Health Information Management; Bachelor of Science, Health Science; Bachelor of Science, Health and Human Services; Bachelor of Science, Healthcare Administration; Bachelor of Science, Nursing; Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Public Health; Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C790,Foundations in Nursing Informatics,2,2,Leavitt School of Health,"Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C792,Data Modeling and Database Management,2,2,Leavitt School of Health,"Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C797,Data Science and Analytics,2,2,Leavitt School of Health,"Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C798,Informatics System Analysis and Design,3,2,Leavitt School of Health,"Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C801,Health Information Law and Regulations,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C802,Foundations in Healthcare Information,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C803,Data Analytics and Information Governance,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C804,Medical Terminology,3,2,Leavitt School of Health,"Bachelor of Science, Health Information Management; Bachelor of Science, Health and Human Services"
AP,C805,Pathophysiology,3,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C807,Healthcare Compliance,3,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C808,Classification Systems,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
